Year,State,Maxtemp_May,Maxtemp_Jun,Maxtemp_Jul,Maxtemp_Aug,Maxtemp_Sep,Maxtemp_Oct
1960,NORTH DAKOTA,68.00,73.20,86.70,82.70,73.80,59.70
1961,NORTH DAKOTA,66.00,84.40,82.90,88.80,64.60,58.20
1962,NORTH DAKOTA,62.50,74.80,77.20,82.20,69.20,60.80
1963,NORTH DAKOTA,65.20,77.80,84.30,81.90,74.90,69.40
1964,NORTH DAKOTA,69.70,74.00,84.20,77.90,67.00,59.30
1965,NORTH DAKOTA,65.40,73.90,80.10,79.40,55.70,61.80
1966,NORTH DAKOTA,65.80,75.90,84.70,77.20,72.70,57.90
1967,NORTH DAKOTA,62.40,73.70,84.00,83.50,74.30,54.50
1968,NORTH DAKOTA,62.70,72.50,81.30,76.70,69.60,57.20
1969,NORTH DAKOTA,68.80,69.00,79.00,87.00,73.40,48.00
1970,NORTH DAKOTA,63.40,80.00,84.70,84.20,70.70,54.90
1971,NORTH DAKOTA,66.70,76.20,78.50,85.80,68.80,54.60
1972,NORTH DAKOTA,68.60,77.20,77.60,82.40,66.80,52.10
1973,NORTH DAKOTA,68.00,77.20,82.20,85.90,67.00,60.50
1974,NORTH DAKOTA,60.30,77.90,87.40,76.40,67.90,60.90
1975,NORTH DAKOTA,65.20,74.30,85.60,78.20,67.60,56.80
1976,NORTH DAKOTA,70.30,78.10,84.60,85.10,76.10,52.60
1977,NORTH DAKOTA,77.10,77.90,83.60,74.70,65.70,57.90
1978,NORTH DAKOTA,70.10,76.00,80.50,82.40,75.10,58.40
1979,NORTH DAKOTA,60.00,76.60,82.10,78.20,75.20,57.00
1980,NORTH DAKOTA,76.20,78.10,85.40,75.80,68.40,53.60
1981,NORTH DAKOTA,66.50,72.90,83.40,82.60,71.90,54.40
1982,NORTH DAKOTA,64.20,71.70,82.10,80.40,70.40,53.90
1983,NORTH DAKOTA,63.60,75.80,85.40,88.70,68.50,55.00
1984,NORTH DAKOTA,66.40,75.10,84.40,86.30,64.20,53.40
1985,NORTH DAKOTA,72.80,70.70,84.50,74.70,62.00,54.40
1986,NORTH DAKOTA,68.30,79.10,80.50,79.00,62.60,57.00
1987,NORTH DAKOTA,72.50,81.90,81.90,76.60,72.20,54.80
1988,NORTH DAKOTA,74.40,89.20,87.50,83.90,68.70,56.90
1989,NORTH DAKOTA,69.60,75.90,87.60,82.80,71.80,59.20
1990,NORTH DAKOTA,66.00,76.90,81.10,83.70,75.40,57.80
1991,NORTH DAKOTA,67.40,77.30,81.80,84.90,69.50,51.90
1992,NORTH DAKOTA,71.90,74.10,73.20,76.50,68.80,57.50
1993,NORTH DAKOTA,67.50,70.00,72.20,76.10,65.50,55.70
1994,NORTH DAKOTA,71.40,75.20,78.40,79.40,73.80,56.40
1995,NORTH DAKOTA,63.30,78.30,79.40,83.00,70.30,53.60
1996,NORTH DAKOTA,61.60,77.50,78.80,83.80,67.90,55.10
1997,NORTH DAKOTA,65.20,80.60,80.00,81.20,74.80,57.70
1998,NORTH DAKOTA,70.30,70.10,83.00,83.80,77.10,55.90
1999,NORTH DAKOTA,65.30,73.90,81.60,80.10,65.40,56.00
2000,NORTH DAKOTA,68.70,72.20,81.80,81.80,70.30,58.60
2001,NORTH DAKOTA,69.30,74.00,82.10,84.80,71.50,54.10
2002,NORTH DAKOTA,62.60,78.10,85.10,78.80,72.80,43.80
2003,NORTH DAKOTA,65.10,73.30,83.20,86.60,70.30,61.80
2004,NORTH DAKOTA,61.90,71.20,79.80,74.20,71.70,55.50
2005,NORTH DAKOTA,62.70,75.30,82.40,79.60,74.10,57.10
2006,NORTH DAKOTA,68.60,78.10,89.50,83.40,68.50,51.20
2007,NORTH DAKOTA,68.10,77.10,86.50,79.20,72.20,57.70
2008,NORTH DAKOTA,65.00,72.70,83.10,82.40,69.90,56.30
2009,NORTH DAKOTA,65.30,72.90,76.90,77.10,76.80,44.80
2010,NORTH DAKOTA,63.20,74.00,81.30,81.90,65.60,61.00
2011,NORTH DAKOTA,61.20,73.00,82.60,81.10,72.30,60.40
2012,NORTH DAKOTA,68.00,78.30,87.30,82.30,74.60,51.10
2013,NORTH DAKOTA,65.70,74.30,80.50,81.60,74.50,51.30
2014,NORTH DAKOTA,65.80,73.00,79.00,77.80,70.70,58.40
2015,NORTH DAKOTA,64.90,77.00,82.30,82.30,76.00,59.70
2016,NORTH DAKOTA,70.20,78.60,81.20,81.60,70.30,56.50
2017,NORTH DAKOTA,68.70,78.30,86.70,78.40,70.70,58.10
2018,NORTH DAKOTA,74.40,79.50,82.10,82.10,66.90,49.80
2019,NORTH DAKOTA,62.00,76.60,81.10,77.60,68.60,46.30
2020,NORTH DAKOTA,65.00,80.50,83.00,82.90,,
1895,OHIO,73.60,85.00,84.10,85.90,80.70,58.20
1896,OHIO,79.60,80.50,82.90,82.20,72.80,58.60
1897,OHIO,68.00,79.20,86.20,80.40,82.30,70.90
1898,OHIO,71.80,83.30,87.30,83.20,79.40,62.90
1899,OHIO,74.40,83.30,86.00,86.20,75.80,69.00
1900,OHIO,76.00,80.60,85.30,87.70,80.90,72.30
1901,OHIO,70.50,82.40,89.80,83.70,76.00,66.50
1902,OHIO,75.90,78.20,85.50,80.80,75.10,65.40
1903,OHIO,76.90,74.40,84.60,82.60,79.50,64.50
1904,OHIO,72.20,78.90,82.70,81.40,77.10,63.80
1905,OHIO,72.30,80.30,83.70,82.50,77.00,62.70
1906,OHIO,73.90,80.80,83.40,84.90,80.40,61.80
1907,OHIO,66.30,76.00,83.60,80.20,75.80,59.50
1908,OHIO,73.00,81.40,85.70,83.60,83.80,66.80
1909,OHIO,70.10,80.40,81.80,83.30,75.00,59.80
1910,OHIO,66.90,77.40,84.90,84.30,77.10,67.50
1911,OHIO,80.30,82.20,86.90,83.20,77.80,62.50
1912,OHIO,74.00,78.60,83.70,78.70,78.20,66.40
1913,OHIO,72.40,83.20,86.40,85.50,75.90,63.20
1914,OHIO,74.80,83.70,86.70,84.20,75.70,66.40
1915,OHIO,68.40,77.20,81.60,76.00,77.20,65.50
1916,OHIO,72.80,75.10,88.90,85.80,75.60,65.80
1917,OHIO,64.10,77.70,82.70,82.10,74.10,56.30
1918,OHIO,78.00,80.60,83.70,88.20,69.20,67.10
1919,OHIO,69.20,85.50,87.60,81.50,78.70,68.20
1920,OHIO,69.90,79.60,81.50,79.60,77.40,70.60
1921,OHIO,73.10,84.70,89.40,81.20,80.10,63.80
1922,OHIO,75.10,82.00,83.80,82.00,80.40,67.10
1923,OHIO,71.30,82.80,84.70,81.40,75.40,61.50
1924,OHIO,65.00,78.30,81.90,83.30,70.80,68.70
1925,OHIO,68.30,84.50,82.70,83.40,80.50,52.30
1926,OHIO,73.90,77.40,84.40,83.20,75.80,61.60
1927,OHIO,69.90,75.30,83.90,76.80,80.10,68.60
1928,OHIO,71.60,74.10,84.30,84.20,72.90,67.20
1929,OHIO,69.80,78.90,84.00,79.50,76.50,61.10
1930,OHIO,74.60,82.90,89.60,84.50,79.00,61.50
1931,OHIO,70.50,82.40,89.20,82.10,80.60,67.20
1932,OHIO,74.00,82.40,85.40,85.10,77.70,63.70
1933,OHIO,73.00,87.30,87.00,82.50,79.10,62.60
1934,OHIO,78.00,88.60,90.70,82.50,78.30,65.60
1935,OHIO,67.20,77.60,87.00,82.10,75.50,64.80
1936,OHIO,76.70,83.40,89.90,86.80,80.20,63.20
1937,OHIO,71.60,79.40,83.90,84.60,74.60,60.00
1938,OHIO,72.50,79.00,84.40,85.20,75.50,68.60
1939,OHIO,76.40,82.30,83.20,83.60,83.20,67.20
1940,OHIO,69.50,80.60,85.60,83.00,74.60,65.40
1941,OHIO,76.80,81.30,86.30,83.10,81.10,67.00
1942,OHIO,73.40,81.50,85.30,80.80,75.50,64.90
1943,OHIO,70.80,85.30,84.90,83.00,74.50,62.60
1944,OHIO,78.80,84.90,87.80,85.00,76.30,63.90
1945,OHIO,67.20,78.30,83.30,83.30,77.90,62.40
1946,OHIO,68.80,80.10,85.00,78.30,78.80,69.90
1947,OHIO,68.80,78.60,79.80,87.10,77.00,72.70
1948,OHIO,70.20,81.10,85.00,83.80,78.10,60.10
1949,OHIO,74.90,84.80,87.70,83.80,71.50,69.40
1950,OHIO,73.60,79.40,81.60,80.50,73.20,67.80
1951,OHIO,74.10,80.10,84.70,82.70,75.60,68.40
1952,OHIO,70.50,86.10,88.40,83.30,77.90,60.90
1953,OHIO,74.60,84.60,86.30,85.20,79.20,70.30
1954,OHIO,68.10,83.50,86.20,81.10,79.70,64.50
1955,OHIO,75.00,78.00,88.20,86.00,79.90,64.60
1956,OHIO,71.20,80.40,81.90,81.40,73.50,69.40
1957,OHIO,72.80,81.10,84.60,83.20,76.00,59.80
1958,OHIO,71.70,76.20,82.00,80.70,74.50,64.40
1959,OHIO,76.40,81.80,84.90,86.30,80.30,63.40
1960,OHIO,68.50,79.30,82.30,83.20,78.80,64.90
1961,OHIO,67.70,78.40,82.60,82.00,80.70,66.80
1962,OHIO,78.60,81.70,82.00,83.90,72.50,65.00
1963,OHIO,70.50,81.90,84.20,79.20,76.30,74.80
1964,OHIO,75.80,81.60,85.40,81.70,77.40,63.60
1965,OHIO,78.80,80.60,83.20,81.00,76.80,61.30
1966,OHIO,68.00,83.20,86.60,81.30,72.80,61.40
1967,OHIO,66.10,83.20,81.50,79.20,73.40,63.40
1968,OHIO,67.10,80.60,83.80,82.90,76.20,64.40
1969,OHIO,73.10,78.70,83.70,83.00,74.30,64.30
1970,OHIO,76.10,80.60,83.40,83.40,80.10,65.40
1971,OHIO,69.60,84.10,82.00,80.80,77.40,70.60
1972,OHIO,73.40,75.00,82.40,80.90,75.50,58.40
1973,OHIO,67.10,82.20,83.40,82.60,78.70,68.00
1974,OHIO,70.20,76.70,85.00,81.70,70.80,62.40
1975,OHIO,75.80,80.20,84.10,83.70,69.60,65.20
1976,OHIO,69.90,81.10,82.50,79.40,73.30,57.10
1977,OHIO,79.20,78.50,86.40,80.80,76.80,60.80
1978,OHIO,69.00,80.70,82.30,81.80,79.90,61.50
1979,OHIO,71.00,79.70,80.60,79.30,75.20,61.20
1980,OHIO,73.10,78.50,84.90,84.10,78.00,60.10
1981,OHIO,68.70,80.40,83.20,81.10,72.60,61.80
1982,OHIO,78.50,76.40,84.40,79.60,73.70,66.20
1983,OHIO,68.30,80.80,87.30,87.00,78.50,63.80
1984,OHIO,67.40,83.80,81.60,82.60,73.80,67.40
1985,OHIO,74.30,76.70,82.90,80.00,78.00,66.50
1986,OHIO,73.10,80.60,84.50,80.60,77.60,64.60
1987,OHIO,77.20,82.50,85.30,83.40,76.50,59.30
1988,OHIO,74.40,84.10,88.70,85.80,74.90,56.90
1989,OHIO,67.00,78.70,83.50,80.60,73.60,65.10
1990,OHIO,67.20,78.90,81.90,80.10,74.60,64.20
1991,OHIO,79.00,84.00,86.00,84.00,76.20,66.70
1992,OHIO,70.20,76.10,81.00,77.50,74.00,62.00
1993,OHIO,72.90,78.60,85.20,85.10,72.30,62.40
1994,OHIO,68.40,83.50,83.40,79.60,75.00,65.80
1995,OHIO,69.40,81.20,84.80,86.40,74.20,66.00
1996,OHIO,68.60,80.50,81.80,82.80,73.70,64.60
1997,OHIO,65.80,78.50,83.10,78.50,74.40,64.70
1998,OHIO,76.00,79.00,82.90,83.90,80.90,65.60
1999,OHIO,75.30,82.90,88.70,81.60,78.90,64.60
2000,OHIO,74.30,80.30,80.40,80.10,74.20,67.60
2001,OHIO,72.90,79.40,83.20,83.40,73.60,64.50
2002,OHIO,68.50,82.80,87.30,85.70,81.10,61.00
2003,OHIO,69.50,76.40,82.00,82.60,73.40,62.50
2004,OHIO,75.90,78.30,81.30,78.70,77.60,64.40
2005,OHIO,68.70,84.00,85.70,85.00,79.70,63.90
2006,OHIO,70.30,78.80,84.20,84.00,71.40,60.20
2007,OHIO,77.60,83.20,82.30,85.90,80.60,70.60
2008,OHIO,68.40,81.70,83.40,82.20,79.30,63.80
2009,OHIO,73.00,80.00,78.70,81.30,75.20,59.60
2010,OHIO,74.40,82.40,86.00,85.30,78.50,66.80
2011,OHIO,71.70,81.20,88.40,83.00,73.30,63.00
2012,OHIO,78.90,83.10,89.20,83.70,74.80,62.20
2013,OHIO,74.80,80.00,81.90,80.70,76.30,64.80
2014,OHIO,73.20,81.20,79.90,81.50,75.70,63.00
2015,OHIO,77.00,79.20,81.80,81.20,80.10,65.00
2016,OHIO,70.70,83.00,85.40,86.10,80.90,68.60
2017,OHIO,70.70,81.00,83.00,80.50,77.30,68.10
2018,OHIO,79.90,81.30,84.50,83.00,78.70,64.20
2019,OHIO,73.50,78.80,86.40,82.40,81.80,68.20
2020,OHIO,68.80,81.80,88.30,83.20,,
1895,SOUTH DAKOTA,69.00,75.20,85.20,85.30,78.20,59.20
1896,SOUTH DAKOTA,71.80,80.20,84.20,84.40,68.90,57.70
1897,SOUTH DAKOTA,72.70,77.00,85.70,79.70,83.70,62.40
1898,SOUTH DAKOTA,65.00,79.10,85.70,85.50,76.30,53.00
1899,SOUTH DAKOTA,65.90,77.90,86.40,83.80,75.50,59.60
1900,SOUTH DAKOTA,76.60,83.50,84.30,86.40,71.50,65.10
1901,SOUTH DAKOTA,75.00,76.40,91.90,85.80,69.50,64.50
1902,SOUTH DAKOTA,71.40,73.60,84.30,80.80,71.70,63.60
1903,SOUTH DAKOTA,68.40,76.50,83.50,79.70,68.70,64.60
1904,SOUTH DAKOTA,68.90,75.10,81.80,83.00,74.50,63.90
1905,SOUTH DAKOTA,63.00,73.90,79.50,84.70,78.10,55.40
1906,SOUTH DAKOTA,67.30,74.80,83.60,80.90,76.20,59.90
1907,SOUTH DAKOTA,60.90,75.70,82.30,84.20,70.80,63.90
1908,SOUTH DAKOTA,66.40,73.90,84.80,81.00,81.60,57.50
1909,SOUTH DAKOTA,67.00,77.40,82.90,87.80,75.10,60.40
1910,SOUTH DAKOTA,65.80,81.20,88.20,81.50,73.50,68.60
1911,SOUTH DAKOTA,73.90,87.40,85.60,78.80,73.30,53.70
1912,SOUTH DAKOTA,69.50,77.70,83.50,80.20,66.30,62.80
1913,SOUTH DAKOTA,65.50,82.60,84.20,87.90,75.40,56.00
1914,SOUTH DAKOTA,69.50,79.60,89.80,82.80,77.00,65.10
1915,SOUTH DAKOTA,62.50,71.40,76.30,77.10,70.20,64.00
1916,SOUTH DAKOTA,66.90,72.40,89.70,81.80,73.60,58.00
1917,SOUTH DAKOTA,64.40,75.80,89.10,82.40,73.40,53.10
1918,SOUTH DAKOTA,70.90,80.60,83.00,83.90,69.90,63.50
1919,SOUTH DAKOTA,68.50,80.00,88.10,85.60,76.20,50.50
1920,SOUTH DAKOTA,66.50,75.50,83.60,83.20,75.70,65.30
1921,SOUTH DAKOTA,67.70,85.50,88.40,84.50,73.60,65.00
1922,SOUTH DAKOTA,69.40,80.50,81.80,87.40,80.70,66.00
1923,SOUTH DAKOTA,68.90,77.60,86.10,79.20,75.10,56.50
1924,SOUTH DAKOTA,64.30,73.70,82.50,83.00,71.60,66.80
1925,SOUTH DAKOTA,70.90,76.50,85.30,87.60,77.30,46.30
1926,SOUTH DAKOTA,75.80,78.40,87.20,83.60,70.40,61.20
1927,SOUTH DAKOTA,62.80,75.80,81.50,79.30,74.50,66.50
1928,SOUTH DAKOTA,75.20,73.10,84.10,84.50,72.80,60.30
1929,SOUTH DAKOTA,67.00,77.20,88.50,88.30,66.90,60.70
1930,SOUTH DAKOTA,65.50,78.80,93.00,85.90,75.20,55.20
1931,SOUTH DAKOTA,69.70,87.70,91.90,85.60,81.80,63.20
1932,SOUTH DAKOTA,71.90,80.10,88.80,85.60,75.90,55.30
1933,SOUTH DAKOTA,65.90,91.40,92.20,82.90,80.30,63.60
1934,SOUTH DAKOTA,85.50,83.90,92.40,86.40,70.20,65.70
1935,SOUTH DAKOTA,60.20,75.40,93.20,86.70,78.40,61.50
1936,SOUTH DAKOTA,76.60,86.10,100.50,90.50,79.50,61.10
1937,SOUTH DAKOTA,72.40,76.90,89.70,92.40,77.60,60.70
1938,SOUTH DAKOTA,65.90,81.00,88.20,90.90,78.40,68.90
1939,SOUTH DAKOTA,78.00,78.10,91.70,86.40,80.90,60.80
1940,SOUTH DAKOTA,71.50,81.20,91.50,83.90,80.70,68.40
1941,SOUTH DAKOTA,75.70,77.30,88.50,86.80,73.30,58.90
1942,SOUTH DAKOTA,62.60,74.10,84.20,83.70,69.60,62.20
1943,SOUTH DAKOTA,67.00,76.70,88.90,87.40,74.30,65.40
1944,SOUTH DAKOTA,73.50,76.20,83.60,82.50,74.00,66.20
1945,SOUTH DAKOTA,65.30,69.00,85.60,84.80,72.50,65.00
1946,SOUTH DAKOTA,65.00,79.40,87.30,81.80,72.50,54.70
1947,SOUTH DAKOTA,66.80,73.50,86.90,91.20,76.70,69.10
1948,SOUTH DAKOTA,69.60,75.40,85.50,85.50,81.10,63.20
1949,SOUTH DAKOTA,73.20,81.40,90.10,88.60,72.70,59.00
1950,SOUTH DAKOTA,64.10,80.20,81.40,81.20,72.40,65.60
1951,SOUTH DAKOTA,69.40,70.80,82.60,80.00,67.60,56.70
1952,SOUTH DAKOTA,69.50,83.30,87.50,84.30,80.90,62.00
1953,SOUTH DAKOTA,65.30,79.00,84.40,84.30,77.40,69.30
1954,SOUTH DAKOTA,65.80,76.70,90.30,84.20,73.60,57.00
1955,SOUTH DAKOTA,75.40,75.00,90.90,89.80,76.40,65.30
1956,SOUTH DAKOTA,69.20,87.50,84.10,82.40,76.00,68.80
1957,SOUTH DAKOTA,64.70,75.40,88.70,82.90,71.40,56.20
1958,SOUTH DAKOTA,75.80,74.00,80.40,88.70,78.40,65.30
1959,SOUTH DAKOTA,67.50,84.50,88.50,90.30,72.40,55.00
1960,SOUTH DAKOTA,70.00,75.70,89.50,85.80,76.00,64.40
1961,SOUTH DAKOTA,66.00,83.60,86.10,89.10,69.60,63.00
1962,SOUTH DAKOTA,69.20,75.20,80.30,84.40,73.20,64.80
1963,SOUTH DAKOTA,69.50,81.60,87.00,85.40,76.70,71.50
1964,SOUTH DAKOTA,72.40,79.20,89.70,81.90,73.20,64.20
1965,SOUTH DAKOTA,69.80,76.20,84.80,83.40,60.30,66.40
1966,SOUTH DAKOTA,70.90,80.40,91.00,80.00,72.80,62.30
1967,SOUTH DAKOTA,63.70,73.70,85.00,85.00,75.20,60.80
1968,SOUTH DAKOTA,64.50,78.10,84.20,82.40,73.50,63.20
1969,SOUTH DAKOTA,73.30,73.10,84.10,89.00,78.30,52.20
1970,SOUTH DAKOTA,71.40,82.00,89.20,87.90,75.40,58.00
1971,SOUTH DAKOTA,67.20,80.90,83.80,89.30,72.90,59.40
1972,SOUTH DAKOTA,68.50,78.70,82.30,83.80,74.60,57.60
1973,SOUTH DAKOTA,69.80,80.80,87.00,89.80,69.40,64.30
1974,SOUTH DAKOTA,67.20,81.00,92.80,81.50,73.60,65.80
1975,SOUTH DAKOTA,69.60,77.00,90.60,84.60,72.30,63.80
1976,SOUTH DAKOTA,71.50,83.10,89.80,89.00,78.80,57.50
1977,SOUTH DAKOTA,76.30,82.60,88.30,79.70,73.20,60.10
1978,SOUTH DAKOTA,68.80,79.70,84.10,84.70,80.60,63.80
1979,SOUTH DAKOTA,66.20,79.00,83.30,80.70,80.60,62.20
1980,SOUTH DAKOTA,74.10,82.40,90.80,83.60,76.50,59.60
1981,SOUTH DAKOTA,68.00,79.30,86.10,82.90,77.60,58.50
1982,SOUTH DAKOTA,66.90,73.70,86.40,84.20,72.70,57.80
1983,SOUTH DAKOTA,65.60,76.80,88.70,91.40,75.50,60.00
1984,SOUTH DAKOTA,67.90,77.50,86.00,88.10,70.20,58.50
1985,SOUTH DAKOTA,76.40,76.00,88.60,80.20,67.60,59.80
1986,SOUTH DAKOTA,68.60,81.10,85.70,81.50,66.40,60.10
1987,SOUTH DAKOTA,74.10,83.60,88.40,80.20,75.10,59.20
1988,SOUTH DAKOTA,74.20,90.00,89.60,87.90,74.00,60.20
1989,SOUTH DAKOTA,70.30,79.20,89.70,86.00,74.40,63.20
1990,SOUTH DAKOTA,66.40,80.30,83.90,85.30,80.10,62.20
1991,SOUTH DAKOTA,68.60,80.20,85.90,86.40,74.80,59.80
1992,SOUTH DAKOTA,74.50,75.80,74.60,77.10,74.50,61.60
1993,SOUTH DAKOTA,68.60,72.60,77.00,80.00,68.30,59.90
1994,SOUTH DAKOTA,74.00,79.80,81.80,82.50,76.30,60.50
1995,SOUTH DAKOTA,62.80,76.70,84.60,86.80,73.10,57.50
1996,SOUTH DAKOTA,61.90,79.60,82.80,85.40,70.60,60.20
1997,SOUTH DAKOTA,65.50,80.20,83.00,81.40,76.80,63.50
1998,SOUTH DAKOTA,72.20,72.90,85.60,84.70,81.70,59.00
1999,SOUTH DAKOTA,67.60,76.40,85.90,84.70,70.60,62.10
2000,SOUTH DAKOTA,71.10,77.40,85.90,87.20,77.90,62.60
2001,SOUTH DAKOTA,70.10,78.00,86.80,87.70,75.50,61.00
2002,SOUTH DAKOTA,66.20,84.60,91.40,83.80,76.20,49.60
2003,SOUTH DAKOTA,66.80,75.80,88.70,89.20,74.70,66.20
2004,SOUTH DAKOTA,68.60,74.80,83.80,79.80,76.10,61.10
2005,SOUTH DAKOTA,66.20,78.90,88.50,85.00,80.30,62.70
2006,SOUTH DAKOTA,72.20,83.20,93.60,85.70,68.70,57.10
2007,SOUTH DAKOTA,72.80,80.60,90.40,83.30,76.80,62.60
2008,SOUTH DAKOTA,65.10,75.90,86.00,84.50,74.30,59.30
2009,SOUTH DAKOTA,69.90,74.60,80.40,80.50,75.90,47.60
2010,SOUTH DAKOTA,65.40,77.10,85.00,87.10,72.20,65.20
2011,SOUTH DAKOTA,63.80,76.30,87.70,84.70,74.80,64.60
2012,SOUTH DAKOTA,71.80,84.40,93.10,86.60,79.80,58.30
2013,SOUTH DAKOTA,68.50,77.20,84.50,83.80,79.50,54.40
2014,SOUTH DAKOTA,67.80,75.60,82.40,80.50,73.80,64.00
2015,SOUTH DAKOTA,65.40,79.40,85.10,82.90,79.60,64.00
2016,SOUTH DAKOTA,70.30,84.90,86.60,84.50,75.20,64.60
2017,SOUTH DAKOTA,69.30,82.60,91.00,80.30,75.20,61.50
2018,SOUTH DAKOTA,75.10,81.10,84.60,83.50,73.30,54.60
2019,SOUTH DAKOTA,60.80,78.80,83.60,79.30,75.00,50.80
2020,SOUTH DAKOTA,65.80,83.20,87.00,87.00,,
